360781955,Juan Perez,pass86,1,1
376602142,Maria Lopez,pass15,1,1
173247548,Carlos Sanchez,pass24,1,1
306863409,Ana Martinez,pass48,1,1
853312600,Luis Gomez,pass99,2,2
349156554,Elena Rodriguez,pass84,2,2
812682729,Miguel Fernandez,pass77,2,2
678391944,Laura Diaz,pass48,2,2
209242519,Jorge Ramirez,pass79,3,2
801179303,Sofia Torres,pass46,3,2
687363816,Pedro Morales,pass91,3,2
379929980,Carmen Ruiz,pass16,3,2
623806157,Alberto Ortiz,pass69,4,2
512263294,Patricia Herrera,pass71,4,2
888232729,Fernando Castro,pass12,4,2
245785681,Isabel Vargas,pass57,4,2
380970149,Ricardo Mendoza,pass98,5,2
612934780,Teresa Guerrero,pass3,5,2
328985441,Rafael Paredes,pass65,5,2
808145304,Monica Rios,pass49,6,3
143010185,Enrique Soto,pass18,6,3
629206206,Lucia Campos,pass75,6,3
